word,condition,run,stimFile
ofiara,ABS,1,resources/audio/abs_run1_001.wav
odwaga,ABS,1,resources/audio/abs_run1_002.wav
zwyczaj,ABS,1,resources/audio/abs_run1_003.wav
zysk,ABS,1,resources/audio/abs_run1_004.wav
minus,ABS,1,resources/audio/abs_run1_005.wav
nawyk,ABS,1,resources/audio/abs_run1_006.wav
fundusz,ABS,1,resources/audio/abs_run1_007.wav
jakość,ABS,1,resources/audio/abs_run1_008.wav
radość,ABS,1,resources/audio/abs_run1_009.wav
energia,ABS,1,resources/audio/abs_run1_010.wav
wynik,ABS,1,resources/audio/abs_run1_011.wav
wybór,ABS,1,resources/audio/abs_run1_012.wav
duma,ABS,1,resources/audio/abs_run1_013.wav
legenda,ABS,1,resources/audio/abs_run1_014.wav
ton,ABS,1,resources/audio/abs_run1_015.wav
obrońca,ABS,1,resources/audio/abs_run1_016.wav
entuzjazm,ABS,1,resources/audio/abs_run1_017.wav
upadek,ABS,1,resources/audio/abs_run1_018.wav
kłamliwość,ABS,1,resources/audio/abs_run1_019.wav
hojność,ABS,1,resources/audio/abs_run1_020.wav
kryzys,ABS,1,resources/audio/abs_run1_021.wav
historia,ABS,1,resources/audio/abs_run1_022.wav
przyszłość,ABS,1,resources/audio/abs_run1_023.wav
zgodność,ABS,1,resources/audio/abs_run1_024.wav
