block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,instr_1_text.started,instr_1_text_text.started,instr_1_text.stopped,instr_1_text_key.keys,instr_1_text_key.rt,instr_1_text_key.duration,instr_1_schema.started,instr_1_schema_image.started,textinstr_1_schema_text.started,instr_1_schema_key.started,instr_1_schema.stopped,instr_1_schema_key.keys,instr_1_schema_key.rt,instr_1_schema_key.duration,instr_2_CON.started,instr_2_CON_image.started,instr_2_CON_text.started,instr_2_CON_key.started,instr_2_CON.stopped,instr_2_CON_key.keys,instr_2_CON_key.rt,instr_2_CON_key.duration,instr_2_ABS.started,instr_2_ABS_image.started,instr_2_ABS_text.started,instr_2_ABS_key.started,instr_2_ABS.stopped,instr_2_ABS_key.keys,instr_2_ABS_key.rt,instr_2_ABS_key.duration,instr_2_BASE.started,instr_2_BASE_image.started,instr_2_BASE_text.started,instr_2_BASE_key.started,instr_2_BASE.stopped,instr_2_BASE_key.keys,instr_2_BASE_key.rt,instr_2_BASE_key.duration,instr_3.started,instr_3_text.started,instr_3_key.started,instr_3.stopped,instr_3_key.keys,instr_3_key.rt,instr_3_key.duration,wait_for_trigger.started,trigger_key.started,wait_text.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,baseline_fixation.started,fix_text.started,baseline_fixation.stopped,block_start.started,block_instr_text.started,block_instr_text.stopped,block_start.stopped,block_onset,trial.started,trial_onset,trial_index1,is_first_in_block,stim_file_used,resp_prompt_text,fixation.started,stim_sound.started,fixation.stopped,resp_prompt.started,resp.started,resp_prompt.stopped,resp.stopped,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1_004.wav,0,0,0,0,0,3,3,3,30.974895799999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.700000023509347e-06,30.947131599999977,14.945324599999992,4,0,resources/audio/base_run1_004.wav,DOWOLNY PRZYCISK,30.974895799999956,0.022364100000004328,32.46220099999999,32.46220099999999,32.46220099999999,33.96928879999996,33.96928879999996,33.94604069999997,None,pilot01,1,2026-01-08_03h22.23.440,auditory_semantic_1back_pilot,2023.2.3,59.8340562284478,2026-01-08 03h22.36.022185 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1_005.wav,0,0,0,0,0,4,4,4,33.96928879999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.700000023509347e-06,33.946499200000005,17.944691999999975,5,0,resources/audio/base_run1_005.wav,DOWOLNY PRZYCISK,33.96928879999996,0.01753009999998767,35.44529749999998,35.44529749999998,35.44529749999998,36.960894499999995,36.960894499999995,36.929922799999986,None,pilot01,1,2026-01-08_03h22.23.440,auditory_semantic_1back_pilot,2023.2.3,59.8340562284478,2026-01-08 03h22.36.022185 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1_006.wav,0,0,0,0,0,5,5,5,36.960894499999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.700000023509347e-06,36.930688799999984,20.928895599999976,6,0,resources/audio/base_run1_006.wav,DOWOLNY PRZYCISK,36.960894499999995,0.025076800000022104,38.44558119999999,38.44558119999999,38.44558119999999,39.95043799999996,39.95043799999996,39.91506679999998,None,pilot01,1,2026-01-08_03h22.23.440,auditory_semantic_1back_pilot,2023.2.3,59.8340562284478,2026-01-08 03h22.36.022185 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1_007.wav,0,0,0,0,0,6,6,6,39.95043799999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.700000023509347e-06,39.9162973,23.914508099999978,7,0,resources/audio/base_run1_007.wav,DOWOLNY PRZYCISK,39.95043799999996,0.027274400000010246,41.429752699999995,41.429752699999995,41.429752699999995,42.93917640000001,42.93917640000001,42.912916199999984,None,pilot01,1,2026-01-08_03h22.23.440,auditory_semantic_1back_pilot,2023.2.3,59.8340562284478,2026-01-08 03h22.36.022185 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1_008.wav,0,0,0,0,0,7,7,7,42.93917640000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.700000023509347e-06,42.91338259999998,26.911583399999984,8,0,resources/audio/base_run1_008.wav,DOWOLNY PRZYCISK,42.93917640000001,0.020856199999968794,44.41205359999998,44.41205359999998,44.41205359999998,45.93086519999997,45.93086519999997,45.89654759999996,None,pilot01,1,2026-01-08_03h22.23.440,auditory_semantic_1back_pilot,2023.2.3,59.8340562284478,2026-01-08 03h22.36.022185 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1_009.wav,0,0,0,0,0,8,8,8,45.93086519999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.700000023509347e-06,45.89706580000001,29.895262300000013,9,0,resources/audio/base_run1_009.wav,DOWOLNY PRZYCISK,45.93086519999997,0.028139500000008866,47.3962808,47.3962808,47.3962808,48.910885399999984,48.910885399999984,48.87998010000001,None,pilot01,1,2026-01-08_03h22.23.440,auditory_semantic_1back_pilot,2023.2.3,59.8340562284478,2026-01-08 03h22.36.022185 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1_010.wav,0,0,0,0,0,9,9,9,48.910885399999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.700000023509347e-06,48.880423199999996,32.878617599999984,10,0,resources/audio/base_run1_010.wav,DOWOLNY PRZYCISK,48.910885399999984,0.025680399999998826,50.379665899999964,50.379665899999964,50.379665899999964,51.8845154,51.8845154,51.86344329999997,None,pilot01,1,2026-01-08_03h22.23.440,auditory_semantic_1back_pilot,2023.2.3,59.8340562284478,2026-01-08 03h22.36.022185 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1_011.wav,0,0,0,0,0,10,10,10,51.8845154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.700000023509347e-06,51.86397679999999,35.862176499999975,11,0,resources/audio/base_run1_011.wav,DOWOLNY PRZYCISK,51.8845154,0.015832299999999577,53.378948899999955,53.378948899999955,53.378948899999955,54.88523090000001,54.88523090000001,54.86305249999998,None,pilot01,1,2026-01-08_03h22.23.440,auditory_semantic_1back_pilot,2023.2.3,59.8340562284478,2026-01-08 03h22.36.022185 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1_012.wav,0,0,0,0,0,11,11,11,54.88523090000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.700000023509347e-06,54.86357240000001,38.86176899999998,12,0,resources/audio/base_run1_012.wav,DOWOLNY PRZYCISK,54.88523090000001,0.015956300000027568,56.36223439999998,56.36223439999998,56.36223439999998,57.884433899999976,57.884433899999976,57.86307360000001,None,pilot01,1,2026-01-08_03h22.23.440,auditory_semantic_1back_pilot,2023.2.3,59.8340562284478,2026-01-08 03h22.36.022185 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1_013.wav,0,0,0,0,0,12,12,12,57.884433899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.700000023509347e-06,57.86365689999997,41.86185640000002,13,0,resources/audio/base_run1_013.wav,DOWOLNY PRZYCISK,57.884433899999976,0.01552729999997382,59.36242759999999,59.36242759999999,59.36242759999999,60.88046829999996,60.88046829999996,60.8481276,None,pilot01,1,2026-01-08_03h22.23.440,auditory_semantic_1back_pilot,2023.2.3,59.8340562284478,2026-01-08 03h22.36.022185 +0100,
